batch_size,total_time,throughput,peak_memory_MB,gpu_util,gpu_mem_used,gpu_temp,gpu_power,avg_latency,p95_latency,p99_latency
1,9.341318480670452,42.82050770752556,347.5498046875,38.855,1603.125,34.9275,62.627584999999996,0.017002831380814314,0.015914743393659583,0.01702814448624849
2,6.962801817804575,57.44813804367666,348.1748046875,38.825,1603.125,36.51,82.37729500000002,0.013932098662480711,0.020248403213918208,0.022652979977428912
4,5.90649751201272,67.72202971159713,348.1748046875,41.15,1603.125,38.89,108.65839000000001,0.012511165114119649,0.015525979176163671,0.01856648474931716
8,5.615706466138363,71.22879417076437,348.1748046875,41.54,1603.125,40.42,120.32880000000002,0.012309985253959894,0.01491997260600328,0.01591617241501808
16,5.64668008312583,70.83808434540747,348.1748046875,42.16,1603.125,41.44,120.15576000000001,0.012689431542530655,0.01542530618607998,0.019725300036370755
32,5.601244937628508,71.41269565143399,348.1748046875,43.30769230769231,1603.125,42.69230769230769,122.22707692307692,0.012629294274374843,0.01551836524158716,0.018949867337942097
64,5.764760404825211,69.38709884025582,348.1748046875,44.57142857142857,1603.125,43.57142857142857,125.61414285714285,0.012634228933602571,0.015707763656973833,0.020083886384963973
